lintang_selatan,bujur_timur,wilayah,kecamatan,nama_lokasi,Besi,E_Coli,IP,Krom_heks,Mangan,Nitrat,Nitrit,Organik,Surfaktan,Total_colif,Warna
-6.154444,106.866943,Jakarta Utara,Tanjung Priok,Sunter Jaya,0.03,0,11.3137085,0.003,0.03,0.4,0.01,3.92,0.08,100,7
-6.154556,106.81897,Jakarta Barat,Tamansari,Pinangsia,0.07,300,15.57091552,0.003,2.21,3.4,0.17,7.53,0.03,1600,16
-6.154722,106.932777,Jakarta Utara,Cilincing,Suka Pura,0.03,0,3.694979555,0.003,0.7,3.6,0.12,7.12,0.03,0,16
-6.155,106.803139,Jakarta Barat,Tambora,Duri Utara,0.03,100,16.77281342,0.003,0.08,2.7,0.01,2.48,0.03,3500,7
-6.155475,106.81649,Jakarta Barat,Tamansari,Krukut,0.03,0,15.83478521,0.003,0.08,2.6,0.25,4.24,0.03,1900,2
-6.155722,106.828972,Jakarta Pusat,Sawah Besar,Karang Anyar Utara,0.04,0,2.439371598,0.003,0.04,1,0.01,2.78,0.17,0,1
-6.156081,106.799255,Jakarta Barat,Tambora,Kalianyar,0.03,0,1.843884844,0.003,0.03,8.5,0.02,2.03,0.03,0,1
-6.158472,106.802345,Jakarta Barat,Tambora,Duri Selatan,0.03,0,2.095500174,0.003,0.07,7.1,0.1,2.74,0.03,0,3
-6.158583,106.808578,Jakarta Barat,Tambora,Tanah Sereal,0.51,0,4.645491273,0.003,0.61,0.8,0.01,5.93,0.03,0,130
-6.159192,106.793449,Jakarta Barat,Grogol Petamburan,Grogol,0.09,300000,25.07434093,0.003,0.03,2.8,0.01,2.03,0.03,780000,7
-6.159278,106.856445,Jakarta Pusat,Kemayoran,Serdang,0.03,300,15.47181902,0.003,0.03,4.3,0.08,3.03,0.08,1500,1
-6.16,106.83139,Jakarta Pusat,Sawah Besar,Pasar Baru,0.17,0,3.672886183,0.003,0.69,1.4,0.09,7.2,0.21,0,9
-6.160103,106.705053,Jakarta Barat,Kalideres,Semanan,0.015,0,18.56063684,0.0015,0.23,0.27,0.005,2.14,0.17,100,9
-6.161458,106.781425,Jakarta Barat,Grogol Petamburan,Jelambar,0.11,0,16.93897136,0.003,0.03,3.2,0.01,2.03,0.09,3900,7
-6.1623361,106.817497,Jakarta Pusat,Gambir,Petojo Utara,0.26,0,11.3137085,0.003,0.05,0.8,0.01,2.03,0.03,100,18
-6.162494,106.878609,Jakarta Pusat,Kemayoran,Sumur Batu,0.05,0,12.37801026,0.003,0.14,1.1,0.01,2.03,0.05,200,1
-6.163053,106.884712,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,0.03,0,12.37801026,0.003,0.04,1.1,0.01,3.42,0.03,200,1
-6.164503,106.808716,Jakarta Pusat,Gambir,Duri Pulo,0.18,20000,20.12200224,0.003,0.41,1.3,0.01,6.27,0.08,31000,13
